n,mean,median,std,sem,ci95_low,ci95_high,t_stat,p_ttest_two_sided,wilcoxon_stat,p_wilcoxon_greater,roi,q_wilcoxon_greater_fdr,q_ttest_two_sided_fdr
408,0.02161241343211512,0.006582990023735497,0.1151741883670594,0.005701971981298823,0.010513907676554855,0.032583414012505425,3.790340167050793,0.00017319241462697383,49663.0,0.0004288471467011672,"Middle Temporal Gyrus, anterior division",0.0035084928243666797,0.002944271048658555
408,0.020048329096274197,0.007075813081684699,0.13117042262663275,0.006493903583748619,0.007038523598803439,0.033011028201119154,3.0872538893934824,0.0021584005939822345,48118.0,0.0036239056114902544,"Superior Temporal Gyrus, posterior division",0.005600581399575848,0.008587748564704806
408,0.01906243511175497,0.006074493534309201,0.10924228723365148,0.0054082991146776095,0.008332111832277072,0.029952292591259266,3.524663615594288,0.00047218253791877417,50009.0,0.0002519804058429485,Frontal Pole,0.0035084928243666797,0.0040135515723095806
408,0.01666040859847185,0.0066020939197753425,0.10894353652773879,0.005393508750806505,0.006667379664571312,0.027287311130414955,3.0889740553365335,0.002146230618874021,48380.0,0.0025936597706362765,Angular Gyrus,0.004899135122312967,0.008587748564704806
408,0.015800833262040816,0.006631760863857205,0.10878196991126983,0.005385510011390316,0.005321065534251287,0.026461392005167447,2.9339530014097392,0.003536131761937273,48270.0,0.0029887535315465557,"Inferior Frontal Gyrus, pars triangularis",0.0050808810036291445,0.008587748564704806
408,0.01515954089660516,0.0045960411760579654,0.12395483180281368,0.006136678607482143,0.003944132564238016,0.027205640327163553,2.4703169036947603,0.013908337635997279,47052.0,0.012611235598189491,"Temporal Fusiform Cortex, anterior division",0.01391663723706636,0.01688869570085384
408,0.015144266033536906,0.0032257595788749496,0.10889065275248991,0.005390890613800201,0.004503271434274854,0.025792440271051435,2.809232670158235,0.005205371969571489,47017.0,0.013098011517238927,"Superior Temporal Gyrus, anterior division",0.01391663723706636,0.009832369275857258
408,0.014741565239173497,0.005007900187970704,0.09958058779830863,0.004929973716833415,0.005432867596532628,0.024522299059203678,2.9901914464246255,0.0029573322733421597,49208.0,0.0008373642292224281,"Supramarginal Gyrus, anterior division",0.0035084928243666797,0.008587748564704806
408,0.014705906757192272,0.007121103512135997,0.10086363939511907,0.0049934942361381214,0.005104121018811169,0.02481831242566817,2.9450132636110853,0.0034147206672646927,49129.0,0.000937268783235554,"Temporal Fusiform Cortex, posterior division",0.0035084928243666797,0.008587748564704806
408,0.01421915747771533,0.0046998140207095505,0.10464149181275596,0.005180525800590705,0.004532650565452707,0.024387433175366107,2.7447324895272227,0.0063241806192180635,47919.0,0.00463755080053672,"Supramarginal Gyrus, posterior division",0.006569863634093687,0.010092101238682406
408,0.014193267664308219,0.007462839068677757,0.1015819672576093,0.005029056764542937,0.00457587597351129,0.02431886812422346,2.822252428005386,0.005002589654873806,48615.0,0.0019032717957504284,"Cingulate Gyrus, anterior division",0.004899135122312967,0.009832369275857258
408,0.014074501918755073,0.0044849651417345,0.1108492259651746,0.0054878544365141915,0.0032105352725559848,0.025081799254326544,2.5646638557153496,0.01068530799168094,47598.0,0.00681132551816909,"Parahippocampal Gyrus, anterior division",0.008270895272062467,0.013973095066044307
408,0.013622041293646543,0.006524101171629455,0.10177983873578268,0.0050388528624398694,0.004156149388717715,0.023712228600598698,2.7034012830949377,0.007150949616509956,49061.0,0.001031909654225494,"Cingulate Gyrus, posterior division",0.0035084928243666797,0.010130511956722437
408,0.013352302725489902,0.006464786917973651,0.11130725403589004,0.005510530204955854,0.0030175846313076787,0.024260442402407708,2.4230522706293507,0.015826132946824185,48444.0,0.002386127810246634,"Inferior Frontal Gyrus, pars opercularis",0.004899135122312967,0.01793628400640074
408,0.013329874341591464,0.004886061944299948,0.09848227347360311,0.004875599055332252,0.0037591653292372807,0.022843003830848432,2.733997236096167,0.006530183154441557,47746.0,0.005716813932102237,"Middle Temporal Gyrus, posterior division",0.00747583360351831,0.010092101238682406
408,0.012060950959111652,0.00753043532424795,0.1023039679211139,0.005064801123692772,0.0021997084506385277,0.02238097815362398,2.38132765029833,0.01770936584878804,48474.0,0.002294121251984474,"Parahippocampal Gyrus, posterior division",0.004899135122312967,0.018816201214337292
408,0.009302134180669903,0.0040429298824592,0.09364980655514521,0.004636356293040892,0.00020869169229669322,0.01859363182953059,2.0063458441777398,0.045480470477307695,46408.0,0.024546897865852194,Precuneous Cortex,0.024546897865852194,0.045480470477307695
