run,model,cv_r,cv_r2
gentle_motion24_nohpf,combined_pc1_to_pc5,-0.01320436359177488,-5.330352839129039
gentle_motion24_nohpf,gpt2_pc1_to_pc5,-0.018501170750218284,-3.787054916126305
gentle_motion24_nohpf,combined_pc1,-0.019317325392673446,-2.843971387240295
gentle_motion24_nohpf,baseline_only,-0.02161287539662206,-1.9622135414016577
gentle_motion24_nohpf,gpt2_pc1,-0.028103996647549027,-1.400501071590196
gentle_motion6_nohpf,combined_pc1_to_pc5,-0.002099260886690673,-6.744391181173469
gentle_motion6_nohpf,combined_pc1,-0.005634995012363607,-3.861956337253846
gentle_motion6_nohpf,baseline_only,-0.00839026909430791,-2.6356093664709492
gentle_motion6_nohpf,gpt2_pc1_to_pc5,-0.010817413369096683,-4.636007216586226
gentle_motion6_nohpf,gpt2_pc1,-0.02329861202796322,-1.8936262345037644
gentle_motionQC_only,combined_pc1_to_pc5,0.02535662678059212,-7.395110821161445
gentle_motionQC_only,combined_pc1,0.01772264816615689,-4.673855205710817
gentle_motionQC_only,baseline_only,0.010233689781271359,-3.3560642179858937
gentle_motionQC_only,gpt2_pc1_to_pc5,0.00750006926037837,-4.882443084756922
gentle_motionQC_only,gpt2_pc1,-0.02618733932777161,-2.234800147073148
